Code,Label,1990s count,1990s share,2000s count,2000s share,2010s count,2010s share,2020s count,2020s share,Unknown count,Unknown share,Total
T1,Customer experience / behavior,1,1.0,4,0.8,36,0.2517,131,0.3609,1,0.1429,173
T2,Omni-channel / multi-channel marketing,0,0.0,0,0.0,28,0.1958,59,0.1625,2,0.2857,89
T3,Logistics / fulfillment,0,0.0,0,0.0,37,0.2587,55,0.1515,1,0.1429,93
T4,Inventory / operations / optimization,0,0.0,1,0.2,22,0.1538,45,0.124,0,0.0,68
T5,Digital technology / information systems,0,0.0,0,0.0,14,0.0979,36,0.0992,0,0.0,50
T6,Strategy / business model / organization,0,0.0,0,0.0,1,0.007,4,0.011,0,0.0,5
T7,Performance / measurement / bibliometric review,0,0.0,0,0.0,3,0.021,10,0.0275,0,0.0,13
T8,Resilience / capability,0,0.0,0,0.0,2,0.014,23,0.0634,3,0.4286,28
