Code,Label,Pre-2020 count,Pre-2020 share,2020-2024 count,2020-2024 share,Change pp,Relative change
M5,Survey / SEM,39,0.2617,131,0.3609,9.91,0.3788
M2,Literature review,5,0.0336,18,0.0496,1.6,0.4777
M4,Case study / interview,11,0.0738,28,0.0771,0.33,0.0448
M3,Bibliometric analysis,2,0.0134,6,0.0165,0.31,0.2314
M7,Optimization / simulation / game model,31,0.2081,76,0.2094,0.13,0.0063
M8,Statistical / econometric modeling,5,0.0336,9,0.0248,-0.88,-0.2612
M6,Experiment,7,0.047,13,0.0358,-1.12,-0.2377
M9,Mixed methods,14,0.094,19,0.0523,-4.16,-0.4429
M1,Conceptual framework,35,0.2349,63,0.1736,-6.13,-0.2612
